"codi","nom","naturalesa","codi_comarca","nom_comarca","lon","lat","url"
8001731,"Escola Poeta Foix","Públic",13,"Barcelonès","2.145862","41.402273","http://agora.xtec.cat/ceippoetafoix/"
8001777,"Escola Ramon Llull","Públic",13,"Barcelonès","2.177784","41.40086","http://www.escolaramonllullbcn.cat"
8001789,"Escola Cervantes","Públic",13,"Barcelonès","2.177385","41.387201","http://xtec.cat/escolacervantes"
8001790,"Escola Pere Vila","Públic",13,"Barcelonès","2.181296","41.391275","http://xtec.cat/escolaperevila/"
8001807,"Escola de la Concepció","Públic",13,"Barcelonès","2.168327","41.395576","http://www.escoladelaconcepcio.cat"
8001819,"Escola Collaso i Gil","Públic",13,"Barcelonès","2.168983","41.376198","https://agora.xtec.cat/ceip-collaso/"
8001820,"Escola Milà i Fontanals","Públic",13,"Barcelonès","2.168588","41.381698","https://agora.xtec.cat/escmilaifontanals/"
8001832,"Escola Castella","Públic",13,"Barcelonès","2.164591","41.384944","http://www.escolacastella.cat"
8001856,"Escola Drassanes","Públic",13,"Barcelonès","2.177249","41.379091","http://escoladrassanes.cat"
8001868,"Escola Rubén Darío","Públic",13,"Barcelonès","2.165736","41.376907","http://agora.xtec.cat/escolarubendario"
8001911,"Escola Els Llorers","Públic",13,"Barcelonès","2.152252","41.384103","http://Escolaelsllorers.cat"
8001923,"Escola Diputació","Públic",13,"Barcelonès","2.155691","41.381703","http://agora.xtec.cat/ceip-diputacio/"
8001947,"Escola Mallorca","Públic",13,"Barcelonès","2.148295","41.391374","http://agora.xtec.cat/ceip-mallorca/"
8002009,"Escola Francesc Macià","Públic",13,"Barcelonès","2.14792","41.374625","http://escolafrancescmacia.wixsite.com/escolafrancescmacia"
8002010,"Escola Lluís Vives","Públic",13,"Barcelonès","2.128044","41.371826","http://agora.xtec.cat/ceiplluisvives"
8002022,"Escola Cal Maiol","Públic",13,"Barcelonès","2.135812","41.372784","http://calmaiol.cat"
8002058,"Escola Pràctiques","Públic",13,"Barcelonès","2.138781","41.381253","http://agora.xtec.cat/escolapractiquesbcn/"
8002061,"Escola Jaume I","Públic",13,"Barcelonès","2.138118","41.380999","http://www.escolajaume1r.cat"
8002071,"Escola Gayarre","Públic",13,"Barcelonès","2.140406","41.373119","http://www.escolagayarre.cat"
8002113,"Escola Rius i Taulet","Públic",13,"Barcelonès","2.150266","41.407865","http://www.escolariusitaulet.com"
8002174,"Escola Baldiri Reixac","Públic",13,"Barcelonès","2.153076","41.413475","http://baldirireixac.org/"
8002186,"Escola Mare de Déu de Montserrat","Públic",13,"Barcelonès","2.135862","41.425931","http://www.escolamarededeudemontserrat.cat"
8002198,"Escola La Farigola de Vallcarca","Públic",13,"Barcelonès","2.146662","41.413802","https://sites.google.com/a/xtec.cat/lafarigoladevallcarca/"
8002204,"Escola Montseny","Públic",13,"Barcelonès","2.148284","41.415667","http://www.escolamontseny.cat"
8002216,"Escola Josep Maria de Sagarra","Públic",13,"Barcelonès","2.139895","41.419324","https://sites.google.com/a/xtec.cat/escola-josep-maria-de-sagarra/"
8002277,"Escola Calderón de la Barca","Públic",13,"Barcelonès","2.17153","41.433665","https://agora.xtec.cat"
8002290,"Escola Emili Juncadella","Públic",13,"Barcelonès","2.18139","41.417865","http://agora.xtec.cat/ceipemili-juncadella/"
8002320,"Escola Ciutat Comtal","Públic",13,"Barcelonès","2.182715","41.46284","http://agora.xtec.cat/escolaciutatcomtal/"
8002344,"Escola El Turó","Públic",13,"Barcelonès","2.17056","41.431502","http://elturo.blogspot.com.es/"
8002368,"Escola Timbaler del Bruc","Públic",13,"Barcelonès","2.177454","41.428343","https://www.sites.google.com/site/timbalerdelbrucbcn/"
8002393,"Escola L'Arc de Sant Martí","Públic",13,"Barcelonès","2.199745","41.422753","http://www.agora.xtec.cat/esc-larcstmarti"
8002411,"Escola Baró de Viver","Públic",13,"Barcelonès","2.199263","41.445331","http://barolucio.wordpress.com"
8002447,"Escola Ramón y Cajal","Públic",13,"Barcelonès","2.192047","41.451458",""
8002459,"Escola Elisenda de Montcada","Públic",13,"Barcelonès","2.179145","41.460551","http://www.escolaelisenda.cat"
8002484,"Escola Marta Mata","Públic",13,"Barcelonès","2.176558","41.442422","http://www.xtec.cat/ceip-aiguamarina-bcn/"
8002484,"Escola Aiguamarina","Públic",13,"Barcelonès","2.176558","41.442422","http://www.xtec.cat/ceip-aiguamarina-bcn/"
8002526,"Escola Tibidabo","Públic",13,"Barcelonès","2.18292","41.442533","http://agora.xtec.cat/ceiptibidabo/"
8002538,"Escola Víctor Català","Públic",13,"Barcelonès","2.176927","41.439712","https://sites.google.com/a/xtec.cat/cip-victor-catala/"
8002551,"Escola Molí de Finestrelles","Públic",13,"Barcelonès","2.189361","41.438812","https://agora.xtec.cat/esc-molidefinestrelles/"
8002563,"Escola La Mar Bella","Públic",13,"Barcelonès","2.20475","41.399785","http://www.lamarbella.cat/"
8002575,"Escola La Pau","Públic",13,"Barcelonès","2.209354","41.424229","https://escolalapaubarcelona.wordpress.com/"
8002587,"Escola Concepción Arenal","Públic",13,"Barcelonès","2.215227","41.417376","http://www.xtec.cat/centres/a8002587/"
8002599,"Escola Eduard Marquina","Públic",13,"Barcelonès","2.213974","41.418328","http://agora.xtec.cat/ceip-eduard-marquina/"
8002617,"Escola Rambleta del Clot","Públic",13,"Barcelonès","2.189782","41.41056","http://www escolarambletadelclot"
8002629,"Escola Les Acàcies","Públic",13,"Barcelonès","2.204947","41.404078","http://www.escolalesacacies.cat/"
8002630,"Escola Els Porxos","Públic",13,"Barcelonès","2.1983","41.414727","https://sites.google.com/site/escolaporxos/"
8002642,"Escola Poblenou","Públic",13,"Barcelonès","2.197573","41.409809","http://agora.xtec.cat/escolapoblenou/"
8002654,"Escola Prim","Públic",13,"Barcelonès","2.211769","41.419803","http://www.escolaprim.cat"
8002666,"CEE Concha Espina","Públic",13,"Barcelonès","2.208784","41.418523","https://agora.xtec.cat/ceeconchaespina/"
8002681,"Escola Duran i Bas","Públic",13,"Barcelonès","2.133407","41.385195","http://www.escoladuranibas.org"
8002721,"Escola Font d'en Fargas","Públic",13,"Barcelonès","2.16525","41.422698","http://agora.xtec.cat/escolafontfargas/"
8002733,"Escola Miralletes","Públic",13,"Barcelonès","2.179223","41.413455","http://www.escolamiralletes.org"
8002745,"Escola El Carmel","Públic",13,"Barcelonès","2.154071","41.42329","http://agora.xtec.cat/ceipelcarmel/"
8002770,"Escola Àgora","Públic",13,"Barcelonès","2.168371","41.437626","http://agora.xtec.cat/escola-agora"
8002800,"Escola Mas Casanovas","Públic",13,"Barcelonès","2.170704","41.413184","https://sites.google.com/a/xtec.cat/mas-casanovas2012/"
8002873,"Escola Bac de Roda","Públic",13,"Barcelonès","2.19417","41.416023","http://blocs.xtec.cat/bacdroda/"
8002885,"Escola Prosperitat","Públic",13,"Barcelonès","2.181375","41.444924","https://sites.google.com/site/escolaprosperitatnoubarris/"
8002897,"Escola Mestre Morera","Públic",13,"Barcelonès","2.168706","41.459433","http://wwwescolamestremorera.cat"
8002903,"CEE Sant Joan de la Creu","Públic",13,"Barcelonès","2.169521","41.460102","0"
8002903,"CEE Sant Joan de la Creu","Públic",13,"Barcelonès","2.169521","41.460102",""
8002915,"Escola Brasil","Públic",13,"Barcelonès","2.205024","41.416333","http://agora.xtec.cat/escolabrasil"
8002927,"Escola Joaquim Ruyra","Públic",13,"Barcelonès","2.214785","41.411005","http://escolajoaquimruyra.blogspot.com.es"
8002952,"Escola Enric Granados","Públic",13,"Barcelonès","2.14161","41.357024","http://agora.xtec.cat/ceip-enric-granados/"
8002976,"Escola Ramon Casas","Públic",13,"Barcelonès","2.134328","41.358688","http://xtec.cat/centres/a8002976"
8002988,"Escola Pare Poveda","Públic",13,"Barcelonès","2.141864","41.417114","http://escolaparepoveda.es"
8002991,"Escola Cascavell","Públic",13,"Barcelonès","2.214042","41.420342","https://agora.xtec.cat/ceipcascavell/"
8003014,"Jesús Maria","Privat",13,"Barcelonès","2.167951","41.440712","http://www.claudina.net"
8003041,"Sagrada Família","Privat",13,"Barcelonès","2.176736","41.381093","http://safaavinyo.com"
8003087,"Sant Joan Baptista","Privat",13,"Barcelonès","2.189124","41.382414","https://www.escolasantjoanbaptista.cat/"
8003154,"LLI privada Bressol del Nen Jesús","Privat",13,"Barcelonès","2.181341","41.384759",""
8003294,"Sant Felip Neri","Privat",13,"Barcelonès","2.175069","41.383515","http://www.santfelipneri.cat"
